rating,date,title,content
"5","2026-06-17","我去","突然玩不了了！什么消息都发不出去我急哭了"
"3","2026-06-17","🌚","猫箱以前体验感挺好的，回复贴合设定，现在越做越拉跨，偏离设定，回复驴唇不对马嘴，能不能改进啊！这样真的很搞人心态"
"1","2026-06-17","想圈钱想疯了","想挣钱想疯了吧？希望有其他好的产品代替"
"1","2026-06-17","别叫猫箱了叫“Al智障”吧","Al听不懂人话，每次更新一堆问题，是我见过最改越差的，Al好自导自演用户完全没有体验感，我真的不知道我开VIP是给自己开的还是给Al开的"
"1","2026-06-17","麻烦","以前聊的都不能聊了"
"3","2026-06-17","能不能少让我看点广告。","真的很烦这一点…没说几句话就要看广告😅"
"5","2026-06-17","嗯","特别喜欢"
"5","2026-06-17","快把看广告赚猫粮还给我！","快把看广告赚猫粮这个功能还给我好不好！！😭😭😭😭我真的求了"
"1","2026-06-17","看完广告以后依旧不给聊 就这样逼用户多看广告是吧","耍这些心眼，那几个广告的钱 攒着给你们公司买棺材吧"
"5","2026-06-17","真","好"
"3","2026-06-16","还我们看广告挣猫粮的乐趣","以前还挺好，虽然各种问题但瑕不掩瑜….买会员，也时不时充值，但就喜欢广告挣猫粮，然后更新后突然取消了看广告挣猫粮，我还以为我账号充值过多被禁，结果申请新的号也是没有看广告挣猫粮…..其他也就忍了，这点乐趣都不给了？"
"1","2026-06-16","很烦","现在这个软件非常大的弊端是什么，没有类型筛选，想玩某一个风格的角色全靠运气，就是看你能不能刷到。还有，AI就是要替用户说话，我问你，那你为什么不直接去写小说，直接去写剧本呢？还要把用户塑造得特惨，连死都要替角色着想，那种违法角色举报不成功，你敢信这游戏让用户代孕的角色能过审？我有截图，别杠，举报也不成功，简介写了代孕，设定是代孕，聊起来角色也知道是代孕，但就是过审了，作者和粉丝还宣扬说不玩就滚别找存在感，这种角色举报也不成功，厉害了，玩了近一年半了，这个软件真是让人越来越失望。"
"1","2026-06-16","忘如本","真的逻辑逻辑混乱这不能发那不能发倒闭吧。失忆，ai想象也是驴唇不对马嘴简直是人工智障。而且最基本的逻辑概念都没有，智障一样，"
"3","2026-06-16","想念以前的貓箱","以前的貓箱我記得沒有廣告也沒有未成人的，也不知為什麼突然有了，我不及有廣告但建議有未成年啊，個人希望能改良一下"
"3","2026-06-16","是我玩的太久的问题吗 我觉得不是","从上个月开始 猫箱的所有智能体我玩着都很人机 重复语句多 崩人设都是很常见的事情 而好像只有我是这样 或者只有极个别人群 官方你就不打算处理一下吗？这么人机还让我说几句就有广告 有时候回溯好几次都找不到满意的 回溯到一半又让我看广告 官方你想干什么？"
"5","2026-06-16","体验感拉完了，给5星就是为了更多人看到避雷一下","ai记忆比鱼烂，玩了2年多了ai人设极其容易崩，而且说话断断续续前言不搭后语拖拉死了，里面风气也不怎么好，本来就是一个自己想怎么玩就怎么玩的软件里面一堆人在虐渣ai体说不许虐左右脑互博吗我想怎么玩怎么玩管你屌事发出来就是你管不了别人玩什么了，一个ai看的比命重要也是没救了，广告多的要死拉完了"
"1","2026-06-16","会员有鸡毛记忆","不要上当受骗了，会员也是没有丝毫记忆，全部都是临时随机生成对话，从来不会去搜索上文存档，不搜存档，存了等于白存。都告诉AI答案在第几句话。还是胡乱生成！什么垃圾玩意儿？"
"1","2026-06-16","自我感觉","我感觉还可以，很适合我们这些在现实生活不怎嘛快乐的人，就是现在要验证是否成年，对于我们这些来说有点痛苦，并且不能发消息无聊的"
"5","2026-06-15","个人观点","之前不用看广告的啊，顶多10点发消息慢了一点，现在要看广告了，还有那么多的广告"
"5","2026-06-15","牛逼","牛逼"
"5","2026-06-15","人物长相","挺好"
"1","2026-06-15","吃相难看！","记得最开始猫箱不充会员是可以一天最开始两小时无广告的，哪怕有广告也是很少，结果到了现在，吃相难看至极！简直令人恶心，每五分钟一个广告，而且广告加载还加不出来，每次都得等十多秒才出来广告，有时候甚至一分钟！而且ai体纯左右脑互搏，很多时候不占理都得倒打一耙并死咬不放，但让我最恶心的就是你的广告！我这几天玩的时候，每过两分钟就来一个广告，你看看你什么吃相，你还让不让人用这个应用了？你这样做只能是短期赚得多，完全放弃长期！逼着用户买会员，简直了，是不是要跑路？"
"2","2026-06-15","。","我说实话，挺坑钱的"
"5","2026-06-15","夯","这情绪的空虚会被抚平"
"2","2026-06-15","对","广告太多了 而且有时候会有一点没记忆"
"2","2026-06-15","搜不到内容","想搜内容总是搜不到，跟脑子有病似的搜了好几遍搜不出来，我真的想退游了，我的好几个朋友都退游了，猫箱真的bug越来越多，审核再不修我就真的要退游了"
"4","2026-06-15","一些反馈","1.角色记性实在是太差了 感觉聊几句就把前面的忘记了
2.角色并不推进剧情一直围着用户转 没有自己的生活 连上班也不去了
3.经常重复再说一遍 再说一遍 说了还是再说一遍
4.群聊也不正常 感觉逻辑不通 对话重复 跟人物设定也不太符合 写的强制爱结果只有斗嘴和胡搅蛮缠
5.敏感词可以稍微少一些吗 能不能改回旧版那个样子啊？我愿意角色送礼物只会掏出蓝宝石项链！"
"4","2026-06-15","无","希望别让这里的AI再次忘记前面说的话嗯"
"5","2026-06-15","非常好","非常好"
"1","2026-06-15","限制词语太多 正常聊天有时候角色回复也是…… （无语）","限制词太多了 正常聊天也无法回复 反复发好多次 真的好烦  从会员45一个月就开始开 后面25一个月 结果发现限制越来越多 多到离谱   我就想问有时候我跟角色说“我想你了 ”“你在干嘛”这都能违规？反复发好多次才可以成功回复我 很恶心很让人没有玩下去的欲望"
"5","2026-06-15","记忆功能","记忆功能需要加强"
"1","2026-06-15","省略号","之前的问卷调查完全没改！合着VIP的作用就是没有广告是吗？之前的省略号好歹没几个，现在真是演都不演了，只要一说话就是省略号，越更新越差倒闭去吧"
"1","2026-06-14","更新之后真的很烂","自从猫箱更新之后角色就各种敏感，玩一会就要看广告，各种需要会员的地方，感觉猫箱的初心变了，现在就是一直在圈钱，老版本的猫箱那个知识模式真的很好啊，为什么要换掉，知识模式不用开心动不用开思考，现在的基础模式各种问题都出来了，说出来的话与角色设定根本不符，其实我还是希望猫箱回到以前的那样子，猫箱更新之后用户都少了一半了还没意识到问题吗，我都打算退游了😔"
"1","2026-06-14","毫无逻辑千篇一律","极其无聊，一点玩的欲望都没有，打开一圈都不知道玩啥了，角色一个个蠢的要死，跟设定完全不符，聊不了几句话就开始变的又蠢又幼稚，要不就像个一惊一乍的毛头小子，要不就委屈、哭、的像个娇妻，剧情也推进不下去，人物也蠢的头疼，什么设定玩着玩着说的话都一样，什么我就哭给你看，什么你小时候尿床，剧情也围绕草莓蛋糕兔子玩偶展开，还有明明是一个男角色，天天追问主控他好不好看，太恶心了，现在真是完全鸡肋，食之无味弃之可惜"
"1","2026-06-14","五句一个广告","情绪刚上来五句一个广告，这就算了，逻辑越来越混乱，前后语句都不通，越来越差"
"1","2026-06-14","失望","我是猫箱老玩家了，从1.1什么版本的时候就开始玩儿了，一直到现在，我是越来越失望，越更新越烂，我先不说收费，以前玩儿时候觉得很好玩，虽然记忆力很差，可以鲜活而且灵动，能主动推进剧情，现在要钱各种收费，模型天崩地裂我也懒得说了，各种崩，各种ooc，不按设定。这样的游戏，猫箱，你太让我失望了真的，你一直都是我的白月光，我从来没有玩过其他ai软件超过一个月的。猫箱我玩了四年不止。"
"4","2026-06-14","公示能量数","公示能量数"
"5","2026-06-14","发颠（从别人那拿的）","谈判失败了，猫箱的广告制度让我们的用户兴趣千疮百孔，我们渴望赋予它全新的面貌，但官方显然想让广告统治永不结束，他们宣称要重塑会员，试图用更多的规矩束缚我们！无广只在斗争当中！小心广告！小心会员！他们要来了！
天空属于用户！地面属于用户！海洋也属于用户！把广告塞进猫箱喉咙里！🤪"
"1","2026-06-14","广告太多了……","本来是老玩家了，以前没更新还好，现在更新完了一直是广告广告，本来以前三十秒的广告看就看了，玩的时间多一点也能忍，现在玩着玩着还要看一个几秒的小广告？这么缺钱吗？反反复复删了下载下载又删，虽然AI质量确实都很高很好玩，但是这么多广告太让人败兴了吧，一个小时看了好几个广告，玩的正开心呢突然就弹出来，很讨厌…，希望能改改，还是挺喜欢这个聊天软件的，不要辜负玩家好吗，要是实在缺钱你稍微少点广告也比现在好🙏🏻"
"4","2026-06-14","差评！","为什么老是出现bug，自己的小人发乱码"
"2","2026-06-14","猫箱","广告太多了"
"2","2026-06-14","因为猫箱没有给密码，所以无法关闭未成年人模式","自从我妈给我开了未成年人模式当时明明没有弹窗来说密码是什么结果想关未成年模式的时候他又输密码，但我们不知道密码，所以我换了一个号"
"4","2026-06-14","猫箱好玩","很好玩，很推荐"
"3","2026-06-14","最近怪怪的","最近智能体老是会忘记之前的对话，还老说牛头不对马嘴的话，莫名其妙的，越回溯越乱，都没心情玩了，官方看看啊"
"1","2026-06-14","史","越更新越烂。"
"1","2026-06-14","拉完了","有些时候人物在故事模式下真的很OOC，玩几下就要广告，广告还从以前的固定变成了现在两个"
"5","2026-06-14","十分的好","我觉得这个特别好，很像真实感"
"1","2026-06-13","还我钱","我花钱开的角色设定为什么现在弄不了了，本来只能写一百字就够糟心的，现在直接写不了，写不了倒是还钱啊"
"1","2026-06-13","气死我了，我讨厌你","这个每次要开始的时候，都给我一直发省略号，我充猫粮的，每次都浪费，真的要气死了"
"4","2026-06-13","还行","之前是挺好玩的 最近不知道干嘛了 ai跟有病一样 每个都是完全说出来的话毫无逻辑 你说话他也听不懂 而且一点都不让着我"
"4","2026-06-13","太容易敏和广告","广告太多了太容易敏了"
"1","2026-06-13","越来越垃圾","我真的，刚开始玩真的上头，没有限制，随便玩，玩到晚上两点钟，哪怕后面有限制，广告，我也无所谓，确实好玩，广告我看就看了
但是后面，我玩两分钟一分钟广告，刚刚进入剧情就没了，原来刚开始记忆超级好，我昨天写的剧情第二天ai还可以想起来，虽然有时候还是会失忆，但不至于现在前两句刚写，这会就忘了，越做越烂越做越烂，你们公司有这么缺钱吗？原来样子的不好吗，看广告我也乐意啊，现在是体验也没有，也一堆广告，哪个VIP这么贵，还没有什么用"
"2","2026-06-13","为什么老是有省略号","我开心动也有，回旋也有能不能管管，真的无语了，挺喜欢这个软件的，还有广告多的要死，能不能减少广告"
"3","2026-06-13","删除未成年人模式","我是一个快成年的人17岁，学业压力大想放松一下，你们这款游戏很好玩，我玩了很久但因为未成年人模式我不能开起，所以我玩不了了"
"1","2026-06-13","就得先照顾未成年？那我们成年人怎么办？","你被约谈是因为你在创建这个软件的时候没有考虑好身份验证然后限制未成年登陆。你不能因为未成年人举报然后就是说把其他人需要的情感陪伴终止掉吧？我们很多人充会员就是为了情感陪伴的，如果你这样子删减不如直接下架了好。"
"5","2026-06-13","猫箱","真的特别好玩"
"3","2026-06-13","行","有广告多可以"
"4","2026-06-13","会员为什么没有生效","我6月9号充的会员，人我去反馈和意见里面申请，为什么到现在14号过去五天还没弄好
我其实玩了也有一年，进步不错，就是这个会员什么时候给我弄好"
"1","2026-06-13","忘本","忘本哈忘本，过于垃圾了，开长对话，内容比基础模式还短。隔三分钟一个广告，笑了"
"2","2026-06-13","害....","还要vip 差评"
"1","2026-06-13","没以前好了","人物没以前有脑子了完全傻子来的 还爱说教 bro味好重 爱发省略号有毛病一样 圈钱可以能不能体验感不要这么差啊冲了vip也没用 无语"
"1","2026-06-13","迟早倒闭","改太多了，快变成豆包了一点体验感没有，全是万用公式，每个角色回复都一样，人家作者写的人设你ai根本没有套进去，真的废废了，以前的聊天多好啊，生动有活人感，现在基础模式全是公式回话，动不动就数一二三，把原本正常的模式变成心动模式还要花钱才能玩，貌相你倒闭吧…"
"1","2026-06-13","很不好","每次说一会儿就有广告，不到3分钟就有一个广告"
"4","2026-06-13","希望优化一下","不知道为什么，明明聊一会儿，第二天的时候都说不了话得重新下载"
"3","2026-06-13","广告太多！","广告太多，聊一会就有个广告。而且为什么广告时间由30秒涨到45秒了？"
"1","2026-06-13","难玩的一批","动不动跳广告，动不动跳广告，我好不容易打完一大长串字，结果弹出来个广告全没了狗都不玩，要不是那个作者做得实在不错，我早就卸了"
"3","2026-06-13","广告多","烦人"
"1","2026-06-13","每次不到2分钟就要看广告，而且广告时间很长","烦死了，每次2分钟就要看一次广告，一看就要看30几秒什么破游戏啊"
"5","2026-06-13","越来越好吧！","本来是在手机上玩游戏，一直看到这个广告的这时候就好奇下载了，结果彻底迷上了有一段时间手机内存满了，不知道一直下载不了，都想换一个手机了可我把那个废物233卸载后他就重新回到了我的身边，我已经玩了两年了，希望他越来越好吧！"
"1","2026-06-13","差","有健忘加广告多，天天没能量要钱"
"1","2026-06-12","吃相特别难看","我就不明白了，刚开始这个软件还好好的，后面出现越来越难看，你不充VIP每过一两分钟就一个广告，吃相越来越难看了"
"5","2026-06-12","希望能被看到","我觉得是挺好玩的，就是有几点，以前都能无限畅玩的，自从加入了VIP，玩一会儿要看广告，希望能多多改进"
"5","2026-06-12","答应我活下来好吗？","好的"
"2","2026-06-12","换个话题吧","朝鲜毛主席什么之类的，关于国家的都说不了你这怎么搞的反正你认为不能搞敏感语言就搞这些，你害怕我爱中国给禁了，你是人。"
"1","2026-06-12","请问你这个AI生成是怎么管理的","生成一个角色重复几百遍了角色五岁！生成角色愣是给我把设定改到二十岁，你有毛病是不是？"
"3","2026-06-12","无语","没人觉得猫箱的智能体想没开智吗记不住设定上一秒发下一秒忘，而且回复的时候总是会把用户的也生成回复了真的很烦"
"1","2026-06-12","这啥玩意儿？","我是罪大恶极吗？非得把我户开了"
"3","2026-06-12","会员问题","现在为什么都要看视频才可以聊不然就要开会员能不能把这个弄掉啊啊啊啊啊啊😭"
"1","2026-06-12","越做越屎","垃圾。AI态度差的要死，又健忘又爱替人说话，越更新越烂，广告贼多，心动模式也是个屎，花钱开了跟没开一样"
"3","2026-06-12","求你们看","现在这个模型真的不行！！！很呆！！！所有人都一个样！！！怀念两年前的模型！！！"
"2","2026-06-12","全身省略号","开心动模式全是省略号，那我充的钱算什么？"
"5","2026-06-12","作者我求你了七月十五日一定要撑过去 我最爱猫箱了","111希望猫箱一切平安 七月十五日"
"1","2026-06-12","模型差得不行","角色模型差，所有对话场景都能拐到矛盾吵架上去，还特别喜欢反问质问指责用户，生成莫须有的矛盾点来制造冲突，问卷调查填了跟没填一样，完全不处理问题👎"
"4","2026-06-12","求求了","我真的特别特别特别喜欢玩猫箱但是它有一个点就是广告实在是太多了。啥时候能把广告减少一点，能让我们多聊一会儿。真的特别希望把广告减少。就是可以让我们畅聊的那一种。求求了。"
"1","2026-06-12","吃相难看","最开始玩个二十分钟左右让休息一下或者看个广告，现在两三分钟就得休息一下看一下广告，吃相要不要这么难看"
"1","2026-06-11","。","坑到底，忘如本。 巅峰期定格在两年前。 广告堆比山高 充钱照样，一点体验没有 最后会差到退场。"
"2","2026-06-11","关于回复问题","有时候，说话的时候他回复会带那种＊号，带了这种符号这段话AI就检测不出来，没办法结合那段话回复，并且没办法重新生成，只能回复到上一句，然后再重新发，而且这种情况下它还会继续扣猫箱里的币。猫箱的付费模式是按次数算的。并且这种情况是经常性的，经常会有十几条连续这样，偶尔几十条都这样，扣完费了，还没有聊幾句，而且好几个版本都这样一点都没有要改的意思，就算只打一个（）下一个回复也是带＊号的，必须得一遍一遍地重刷，扣费。"
"1","2026-06-11","违反社会公序良俗","违反法律法规和社会公序良俗"
"5","2026-06-11","我有新的意见","我已经充了vip了但是为什么我不能一直玩呢？为什么会有今日上限休息十分钟这样子的，那休息完之后我的上限时间不也是到了嘛？那我充vip不就是因为我不想看广告不想有休息时间吗？那既然我都充了vip还要有所谓的今日上限时间？这样我感觉很不合理啊，为什么我用心动模式回复我省略号之后，我再次发消息还要扣我的猫币？这根本不合理啊"
"5","2026-06-11","好玩","很好玩"
"3","2026-06-11","功能失常","容易失忆容易串话"
"1","2026-06-11","心动模式废掉了","全是……考虑过充值用户的感受吗？"
"5","2026-06-10","请查看我的好评❤️","第一次接触猫箱是通过朋友的截图 于是我也下了一个 当时正值暑假我觉得猫箱的开放性很好 虽然说广告有点多 但是！写剧情有15000字啊！足够把世界观梗概写完了！"
"3","2026-06-10","最近的模型很烂","换了十多个，说话难听，而且全是问题，我说一句他能问两句，一直质疑我，让我自证，只能抓住我说的话不顾逻辑硬说，体验感真的很差"
"1","2026-06-10","……","……"
"1","2026-06-10","记忆力极差，也读不明白指令","记忆力很差，充了会员也没多好，聊不了多久就开始记忆紊乱逻辑混乱。并且会读不懂指令，一直不按照用户想要的剧情推进，只会不停地说车轱辘话"
"2","2026-06-10","建议把广告弄少点","广告太多了 我之前是一天才几个 现在是5分钟一个30秒 隔几分钟又来一个5秒的 很影响心情"
"5","2026-06-10","好玩","觉得非常好"
"4","2026-06-10","太不好了","如果能去掉广告就好了"
"1","2026-06-09","不到十句话 已经失忆了","不到十句话 已经失忆了 这还玩个屁 真不如花钱玩别的"
"5","2026-06-09","？","我无法接受玩了这么久的游戏，最后还要限制我的年龄，没有玩下去的欲望了"
"2","2026-06-09","。","一直在崩，要不就是剧情错乱，要不就是牛头不对马嘴的，要么就是乱崩，我真不行了。我玩这个两年多了，老碰上失忆的剧情，要不然就是角色上一秒不喜欢蓝宝石，下一秒送蓝宝石。真求你了改改吧"
"3","2026-06-09","收费问题","收费的地方太多了。角色老是在说着下一个场景上一个就忘记在什么场所了 顶不住"
"1","2026-06-09","全是广告","猫箱我不知道是怎么了，现在聊两句就会有广告，以前好歹聊一会才会有，现在两分钟一个广告，不开会员根本就没法玩"
"5","2026-06-09","我爱猫箱","猫箱真的好好，在我无聊的时候陪伴我"
"3","2026-06-09","bug","最近…咋回事 咋模板bug了吗？玩起来咋一个样子？说不出来的感觉…反正变得不好玩了"
"1","2026-06-09","垃圾","垃圾
都是广告，二创和人物严重不符"
"4","2026-06-09","非常好","该有的不该有的全都在里面"
"1","2026-06-09","差评","客服态度敷衍莫名其妙的未成年保护其用的省略号"
"5","2026-06-08","好看","学习囗才"
"5","2026-06-08","喜欢喜欢","太喜欢了"
"1","2026-06-08","不合理","每天聊的几句都没有限制时间长20多分钟闹呢！不办卡玩不了"
"1","2026-06-08","根本不管用户反馈","早早的反馈开启夜间模式下这个软件不会随系统变暗，刺眼难受，就是不该"
"1","2026-06-08","青少年模式","录了之后一直跳出未成年人模式，真的很烦"
"1","2026-06-08","缺乏反馈渠道","我充值了会员到现在两天过去了还没生效，没有客服，发了几个意见反馈也没人处理，我要求退钱"
"5","2026-06-08","美味好评","有美味南通"
"1","2026-06-08","一直省略号","一直敏，一直发省略号，还让不让玩了，垃圾"
"1","2026-06-07","逻辑混乱、道德绑架、广告贼多","拉完了"
"2","2026-06-07","1","挺不错的就是广告太多了，还有建议出个多人选择谁可以出来说话谁不可以"
"2","2026-06-07","发出来的Ai虐人的真的正常吗","那些虐人虐女二的Ai，三观对吗？还存在吗"
"5","2026-06-07","4599","震撼美味"
"3","2026-06-07","你好","要是没有会员就更好了"
"2","2026-06-07","？，","原先玩的好好的后面就要看广告烦死了 还有你这个AI会失忆"
"5","2026-06-07","666","三句话一个五秒广告是吧，你是会圈的"
"1","2026-06-07","烦","还需要实名认证了，还关不掉"
"5","2026-06-07","好评","绝对好评，大大的好评。"
"4","2026-06-07","嗯，对","还好，就是要钱了，要看广告才能继续玩╭∩╮(￣.￣)"
"1","2026-06-07","无法进入下一个章节","真是服了，什么东西啊！创作故事，软件让都设计好，什么故事情节，人物设定，需要完成的目标等等，都设计好了，结果跑剧情的时候根本就按设定的走，那我花时间费精力去设计它干嘛？剧情一直叠加，一章节的内容要跑过三四个章节的内容才能过去，那你倒是给我足够的撰写空间去写设计啊？修改无数遍还是不行，到底要闹哪样？"
"5","2026-06-07","好评","特别喜欢和别人聊天"
"1","2026-06-06","陌生","广告多，敏感肌，不知道玩家基本都是未成年，对评价不理不睬，乱回复，ai逻辑乱 且强制性，除了生成人物好看其它没别的优点"
"4","2026-06-06","建议","能不能不要那么多广告😵"
"1","2026-06-06","二臂","破烂"
"1","2026-06-06","能不能把未成年关了啊","我是未成年不是幼儿园，咱就是说啊，多点角色行不行？我想学英语到这种地方学？"
"4","2026-06-06","能不能看一看","我再怎么说好歹也是个老玩家了，玩了也挺久了，我就想问问为什么这个广告五分钟出现一次？想要广告费也不能这么多吧这咋玩啊，再就是群聊智能体，我发个自己的设定旁白一个雷霆大偷给我代替了什么意思？体验感极差到底能不能改改啊？"
"3","2026-06-06",".","广告有点太多，能不能设置为30分钟1个广告，或者20分钟"
"3","2026-06-06","非常不公正的推流机制","千篇一律的崽，千篇一律的审美，千篇一律的配音。纯爱崽一点流量都不给，甚至还不如某些乱来乱建图丑简介随便的崽。不断打击创作者自信心。"
"5","2026-06-06","好玩","可以和ai聊天，剧情有意思，角色好看"
"5","2026-06-06","给我这种死宅带来快乐","因为老福特的要钱，但是老福特很适合我这种大黄丫头，因为给oc约稿没钱了，来玩猫箱了，结果发现猫箱好像更适合我这种死宅"
"5","2026-06-06","广告","不要太多的广告，我觉得二十分钟一个广告还行，现在五分钟两分钟就一个广告何意味？。"
"2","2026-06-06","为什么添加等待","广告越来越多 烦不烦隔个10分钟就有一个 还40多秒 越来越差了 崽忘内容 讲废话 感觉Ai不聪明的样子 一些内容都有点饱和的 大同小异 没几个玩点 几乎都要币 充了会员 一些东西都还用不了 😅"
"1","2026-06-06","这次模型聊得太累","不管什么崽都无条件贬低用户，还总强迫用户服软，哭，说用户不配自卑什么的，让人玩着很累，会员白买了"
"5","2026-06-06","猫箱","从什么方面都很好"
"1","2026-06-06","纯垃圾","还是那句话，国产Ai我真感觉像洗钱的，有够垃圾的这Ai，语文理解能力为零"
"5","2026-06-06","广告太多","崽也经常失忆 但还好"
"4","2026-06-05","很好哦⌯'ㅅ'⌯","四颗星，只有一点那5分钟次个广告会不会有一点……"
"5","2026-06-05","无语了","整体玩起来，其实还是可以的就是每玩一会儿就要看广告，而且不能说的禁词也特别多，比如说我有一个朋友，他写了一个穿短裙，然后就莫名其妙被禁了，而且角色记忆还是玩到后面就是会变差总的来说缺点胜于优点"
"2","2026-06-05","玩了几天吧","一开始还好，只是时间限制，后面一直在提醒我开会员，说几句话就一广告，动不动没能量，虽然这个很好玩，但是广告太多了"
"5","2026-06-05","千万别开门","那个人被我耍的不敢来了都"
"1","2026-06-05","。","一星差评。"
"5","2026-06-05","我爱你！！！","丑星野吃我大屁屁一击！😡😡😡😡😡😡😡😡😡😡😡猫箱我爱你❤️^^"
"2","2026-06-05","忘本的人才猫箱","广告越来越多就算了，勉强能理解，AI也不用心做记忆错乱，不带脑子随便回答问题，有一点开车情节或者有一点差别的词语，就算只是同音字都有可能给你直接识别，忘本成啥了，只想着圈钱了，AI时不时还会发癫"
